"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-2.650169953,-2.044446868,-2.389321181,-1.70575298,-2.139870439,-3.026647104,-2.353048203,-3.156932946,-3.479739038,-1.204730432,-1.583723332,-3.289864679,-3.164180503,-3.367458283,-1.964250631,-3.206643726,-4.624030735,-3.274509402,-2.090170312,-3.309772578,-1.330892043,-5.587892928,-2.936271345,-0.8459283,-1.397751268,-2.218578544,-1.917833988,-2.296454369,-2.855095469,-4.089558858
-3.891234092,-2.265709724,-0.306703366,-0.995178987,-0.842605851,-0.845144948,-0.793529297,-1.236660494,-0.53488682,-0.998985997,-4.188956608,-2.257115681,-3.467227492,-0.946172395,-2.008890116,-1.42186451,-4.888220396,-1.721643199,-0.678949946,-1.858643999,-2.530760133,-7.804170898,-1.847825042,-1.797606883,0.272979195,-2.089206712,-5.143296513,-2.563031368,-3.214130819,-5.558975197
-0.118077018,-1.094048451,-1.236548226,-1.172534133,-0.550389913,-0.562353728,-1.267993771,-0.80768748,-0.81274818,-0.636335623,-0.154129687,-1.578215489,-1.517932887,-2.564157652,-2.236725718,-1.978780052,-2.109143932,-3.386277466,-2.065681579,-2.331173409,-1.333979314,-2.255259785,-0.291145774,-2.458544029,-2.813783328,-1.408626544,-2.129885638,-1.894479138,-1.294747029,-4.289924399
-2.853808774,-2.713907146,-1.176190328,-1.652475408,-1.398164933,-2.82140236,-1.704729921,-1.95796223,-1.460977946,-0.258697354,-1.04544685,-1.499474919,-1.442322822,-2.164757198,-1.692613425,-1.429551253,-2.411380289,-2.581291791,-0.817848603,-2.024080792,-1.231359899,-2.795626674,-2.771758911,-3.207045813,-3.536180794,-1.318064691,-1.60395825,-0.532074308,-2.392404709,-4.026561347
-2.544888225,-2.284634326,-1.938699475,-1.750845783,-1.764020072,-2.448238091,-1.727572657,-1.793452099,-2.494975009,-1.847964305,-0.658638333,-0.715002512,-1.209326751,-1.296475607,-2.044973594,-1.194253262,-3.708086062,-3.742864349,-1.150978731,-1.55628509,-1.386445636,-2.416514964,-0.952184981,-0.444688026,-1.325175486,-0.663095996,-1.788938297,-1.640156003,-2.188117677,-3.012813316
-0.634770783,-3.086415299,-0.602559385,-0.9550295,-2.401385516,-2.52702277,-1.373835211,-2.147530674,-0.299677529,-1.789583384,-0.803164048,-1.710858681,-0.869977104,-2.260563315,-1.395498404,-2.90733563,-2.814453807,-3.418128245,-1.123960483,-2.358613043,-1.993743418,-4.149868453,-2.917560471,-1.050493331,-1.0196841,-1.512852945,-1.697409926,-1.264820566,-1.489070231,-1.516027285
-0.783574641,-1.620035434,-1.008838633,-0.233831762,-1.035405627,0.294629373,-0.211127188,-0.519519717,-0.514082524,-1.131694109,-0.557622446,-2.136436527,-1.539458915,-1.522287047,-1.17195066,-1.98815817,-2.876618329,-2.52743667,-1.376830976,-1.727749739,-0.633182336,-2.951643002,-1.150230297,-2.714156529,-2.980111389,-1.536849112,-2.296368059,-1.809966971,-2.193534208,-3.820230908
-0.289542904,-2.279442629,-1.885652278,-1.036849386,-1.795367159,-1.294667874,-1.073923173,-0.187484292,0.073007792,-1.705453694,-3.705978596,-0.689332236,-4.406162021,-2.430104278,-1.937179985,-2.078597855,-0.855919292,-3.846572806,-1.127515787,-2.897359733,-0.34315877,-2.91664517,-0.53531154,-0.38920329,1.471044938,-2.044424732,-1.596631749,-0.844407062,0.360019005,-4.956664049
0.973094503,-1.94295037,-0.59949085,0.036981552,-0.68580633,-0.001175133,0.232647731,0.113459114,0.656599419,-1.418222126,-0.618147335,-0.411689766,-0.871017214,-1.276913883,-1.111067197,-0.739698547,-2.524904823,-2.765913055,-0.861531426,-1.463997911,-1.321123938,-2.220238067,0.375588058,-1.628697491,-1.630577914,-0.971511394,-2.280702218,-1.300150599,-1.284461051,-2.537881198
-2.419938003,-3.485003515,-0.736192322,-0.980090046,-1.000075582,-2.270595953,-0.91388338,-1.648277994,-0.780307768,-1.032422886,-0.6496866,-0.037777597,0.700535013,-1.774297111,-0.048913893,-0.676135162,-4.293716438,-4.420790956,-0.079252326,-2.133827329,-3.998927989,-0.105512412,-1.180985702,-3.562742502,-5.951201197,-1.471064593,-2.887938371,-2.237737831,-4.353509722,-0.011217187
-3.783783202,-2.526239237,-3.386263096,-1.389520747,-0.746318743,-1.572499381,-1.667093293,-1.745973805,-0.793555605,-0.512984218,-1.309972929,-2.079834307,-3.152212949,-3.534215616,-2.820120463,-2.679095936,-1.290763192,-3.616311758,-1.76278913,-3.161510651,-0.994490213,-1.307418381,-1.848759226,-2.439265911,-2.524172728,-2.184807317,-2.901509091,-1.765758066,-1.219320257,-7.682569712
-3.558243522,-2.574307478,-1.615026238,-1.104941066,-1.547110831,-1.425664522,-1.461904411,-2.034636592,-0.909831129,-1.494818144,-0.689857943,-2.386633375,-0.875849733,-1.876485285,-0.816284639,-2.109442684,-3.978941965,-2.899963139,-0.946774496,-1.496028803,0.144542019,-1.001312765,-3.699354503,-2.39992871,-2.680784281,-0.691404882,-1.215812637,-0.555260464,-2.095951876,-5.793106217
-4.486614305,-2.590943142,-3.292670544,-3.24340288,-3.563814488,-4.414023846,-3.088561095,-3.110249272,-2.763089944,-3.238885431,-1.839900715,-2.690120563,-2.792299713,-3.233491465,-2.089325868,-3.285621921,-4.017073874,-3.235597276,-1.797388232,-3.0448599,-3.276281978,-4.298392298,-2.895006564,-3.227569352,-4.913324224,-2.866677052,-2.866465506,-2.852935916,-4.342809451,-1.833486504
