"Americas_in","Asia_in","Europe_in","Americas_out","Asia_out","Europe_out"
30.9770966025009,29.308099316214,28.2228058927575,29.4989180646245,30.3970253422675,28.6120584045804
30.8273123161045,30.1388905114453,28.2091105294737,30.2772323748108,29.8806734746016,29.0174075076111
30.6097737411245,29.0456903976708,27.1265635893391,28.0222326674595,30.5299817221628,28.229813338512
29.827654936299,29.3219490274986,27.4610429975215,27.9914296525637,30.1059352136647,28.5132820950906
31.2019072619055,29.5131557159895,28.4146177359124,29.0987243635689,31.0153315603323,29.0156247899061
32.1412089918667,25.1254022417741,27.5029715102984,25.7308524416117,30.9796307414369,28.0590995608905
30.5172161360034,29.550807623432,27.0921139953629,26.7530909131936,31.5271579237719,28.8798889178327
29.8296662245633,29.4676288755905,27.5183019247765,26.9863694635547,31.3568095260027,28.472418035373
30.0513004193487,27.5182476475995,28.697328248873,26.9543875801686,31.6490865976767,27.6634021379759
29.1368756337686,29.7115730599334,27.6651931100917,27.4446152973177,29.3597395659796,29.7092869404964
28.2769904346496,28.7304229777073,27.1830286250347,26.951596638726,29.3641752208476,27.8746701778181
28.5091510800185,24.087993471313,27.4513404682748,24.9901810689449,29.4686959534469,25.5896079972145
28.76239517247,27.8800229902988,25.070258102245,24.7924525639781,29.8823921080593,27.0378315929763
28.9932891131,25.3473135709689,25.4182728093053,23.9289296000944,29.6563210016981,26.1736248915817
26.1611646170304,26.4391842587664,28.6240478865666,25.4930147442865,29.7406395123567,25.9907425057202
26.8064520255391,26.8369281280803,26.6034957706153,25.5842343190249,29.0765714221085,25.5860701831013
27.2664813311162,25.2125005500045,28.5346160911368,25.707924714841,29.4397601902671,25.8659130671493
28.7559210978753,28.724215341662,27.6339589194227,27.4746243624061,29.0964705651995,28.5430004313543
28.3973240419121,26.8373296026132,27.993775101688,26.4366731268242,29.9739885258901,26.817767093499
29.6202660681775,26.9500678427141,28.3006813490145,25.7734001928706,31.3314173962098,27.7661976708257
27.7228800479867,27.0690901460376,26.485878518497,25.8518179235221,28.6093614268263,26.8166693621728
30.6349152549457,26.7429880825814,29.8842358892644,27.3623652264385,31.2880748358503,28.6116991645027
30.5996361815894,28.2419934702343,27.4699445480098,26.8863112154966,29.7575298139373,29.6677331703996
31.4280777259664,28.7999076931436,28.4174075269926,28.1298008703057,31.8001666312264,28.7154254445704
30.9473301477862,28.6092590745425,26.544954097727,26.8705767686005,30.1951634672737,29.0358030841816
31.0590857142062,29.1968157192973,27.9734892410536,28.2557836781759,31.2707129701296,28.7028940262516
30.1475252278153,31.6288162956758,30.3264940910824,29.5069423140638,31.4892338060803,31.1066594944296
29.5772715625336,32.6231137497544,30.5752736547515,30.0213659541612,30.6922485655644,32.0620444473139
31.0817430379053,31.917173181695,31.12587564531,30.2054728609278,31.779787312529,32.1395316914535
32.0732836937084,31.6602053275998,29.8449095624088,29.7231571464215,32.957398839783,30.8978425975124
31.9805588967114,32.410302421546,30.3349289129639,30.310876382535,33.2622928361649,31.1526210125213
30.9070626601633,31.9677209763519,26.6623273072359,28.2658534173608,32.2256834612237,29.0455740651666
31.7148945278245,32.5680080306858,27.7194485528407,29.1141644796554,32.9807354070116,29.9074512246841
30.1428036574786,30.2654982051597,27.8764294773962,27.869254830329,32.0031778695553,28.4122986401502
30.9874757004157,32.2146157813637,28.8037332164693,28.852988992125,32.6434998937975,30.5093358123261
32.4999875697775,31.6702190927289,30.3399412718447,30.70981460965,33.3034775548022,30.4968557698989
29.1681547163132,33.7454070193935,27.1473078473501,28.6067317897331,31.9600241155118,29.4941136778118
32.2204401315102,33.5080095387598,27.2685393165089,29.2923916593493,32.7080692137068,30.9965281137227
32.4916435211344,32.0397356231309,29.4065617542647,29.0025648288032,33.1021062554706,31.8332698142562
29.6018796128634,30.6180321632601,30.2094262834386,27.8345337810287,32.8130956043964,29.781708674137
32.4092728550745,32.8824320327538,30.3356617920138,29.5402345601361,33.398399027054,32.6887330926519
30.9635251533664,32.814356135333,28.6987230325778,28.7470466633561,32.5501639336247,31.1793937242964
30.6999135924066,31.5881783268249,29.459447058734,27.90327236598,34.3034694456318,29.5407971663537
29.7669741354522,33.5401257970158,29.9710945146191,29.33628896603,33.9360270829238,30.0058783981333
30.8925375663087,33.0270127453947,30.5818334336343,29.5821694185267,33.5771260087317,31.3420883180792
29.5243809736148,33.2266069078774,26.867229604667,28.0549759671175,33.2543355708796,28.3089059481621
29.5693866034943,33.9933872819943,28.0133945230241,29.2615935218849,33.2331356281932,29.0814392584346
30.9665833525523,33.2220464424397,28.5572610861693,29.8924433015062,32.5769258035576,30.2765217760975
28.4062759778378,34.0847440670262,25.8458219550329,27.6538030012591,32.5983056606784,28.0847333379593
30.0167237941781,34.0727840518597,25.6837973988933,28.2236307466952,32.520439636701,29.0292348615349
30.3099092425757,34.7006179529401,26.8442330391007,30.0736503495292,32.8191708587554,28.9619390263319
28.4147570581106,34.9654889045891,27.8432839256695,29.5789944085156,33.022827416445,28.6217080634086
32.3900256848929,34.6290313318086,25.1990812308283,29.4247934429651,32.4785786744072,30.3147661301576
31.5106446484438,33.5116814593741,22.8043685611479,27.834205443751,32.986590970266,27.0058982549488
32.2626153802471,32.3673340002357,25.3081759973913,30.124752337284,32.8700117197183,26.9433613208718
33.0395550247994,34.330849447304,27.4730051417156,31.5909607332691,33.3184642615203,29.9339846190295
32.1156518026857,33.2151628777326,28.8825686094458,30.7142434931984,34.3444277456792,29.1547120509864
30.8055658755219,32.928284839404,28.5856715494536,30.1764911121405,34.7053763126963,27.4376548395427
31.5025275748602,32.7953066668662,27.358711580707,30.0476823085286,34.875863460507,26.7330000533977
29.1821879384441,31.7482033063952,27.0303850173401,28.4732041337623,33.4918399756909,25.9957321527262
28.3577342102466,32.6879396999646,26.8540668011013,27.2259561173597,33.8622199131779,26.8115646807749
30.0617936004589,29.0418781142403,25.1987592042736,27.4908816689785,31.6179205313861,25.1936287186082
30.5940619503616,28.9246333728105,27.0484800171733,27.5151101921902,32.6486372004115,26.4034279477437
30.0049192746031,25.0024528046064,27.4659055319654,27.0140278536362,31.4014956651435,24.0577540923952
27.9219843907526,28.4111250496117,26.868283965226,27.8512819544626,31.2631933705497,24.0869180805781
29.0754829916132,28.5181854441644,23.7908707392687,26.864908799951,31.3418526815399,23.1777776935553
28.7601515646128,28.7161418653692,23.0585104260716,26.7661648906849,31.1291042794304,22.6395346859383
28.7252359129958,30.2219549710611,22.4460433924781,27.1404445624982,30.177749470515,24.0750402435217
30.4262571359647,27.4318880194431,23.2060666168782,25.5328393262813,31.8541624136203,23.6772100323844
