"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.453805768,-1.274678854,-0.274017838,-0.354612296,-0.196440492,0.216119415,-0.103042949,0.667154387,0.190852664,-1.057033738,0.045538661,-0.197946104,-0.93441882,-1.088314359,-1.34133918,-0.760636729,-3.269666383,-2.397892437,-0.765775875,-1.334878516,-1.25375276,-2.226575286,0.009817794,-1.494198826,-0.610194826,-0.465625767,-2.029562285,-1.135704719,-0.831077698,-2.859280642
1.437296812,-1.685950251,-0.212495958,-0.287581643,-1.018281208,-1.557951859,-0.400946296,-0.353010638,-0.558985434,-1.079726727,0.50793605,0.233220315,1.678864533,-0.511681879,0.490082851,-0.638571224,0.620282112,-1.768937014,0.125069426,-0.707498101,-1.129263996,-1.299194461,-1.416670047,-1.650591836,-1.843344388,-0.629032868,-1.002706773,-0.903151522,-1.027498013,-2.49671056
-6.385609536,-3.871042146,-5.424917222,-4.01567701,-3.410180852,-6.372400137,-4.473767083,-5.442136339,-3.379521172,-1.127247006,-3.790531825,-3.80598167,-8.175466676,-5.072807251,-5.740396935,-3.496282602,-4.055817317,-5.255646369,-4.474706688,-4.269317849,-3.311346305,-3.614496043,-3.373025419,-4.452073285,-5.348286148,-4.279173464,-3.123349675,-2.883678268,-3.127884208,-6.249228223
-5.272114733,-4.111532891,-3.749406684,-3.333348317,-3.054578482,-4.957497564,-3.736759656,-5.060731179,-3.598638617,-1.653490273,-3.100428463,-3.822001518,-5.423550105,-4.2430804,-4.235790231,-3.754429259,-4.100871056,-5.567682483,-3.612708162,-3.434690319,-1.871089022,-4.138331962,-4.023401915,-4.930886807,-6.099307819,-2.363214134,-1.839043546,-1.357704899,-3.575374985,-3.638239181
-4.415668052,-3.454283318,-3.974119318,-3.357221478,-3.660349785,-5.680067933,-3.586886711,-4.47494677,-2.924078531,-2.96409461,-3.336953969,-3.202861635,-4.895852718,-4.443771509,-2.908891812,-3.508727292,-3.560722833,-4.630760412,-3.034822417,-4.216188319,-3.093499575,-5.07228212,-3.024791747,-3.548779461,-5.292490078,-3.255799199,-3.108991787,-3.146156301,-3.120638232,-4.451616284
-7.371948455,-8.022699368,-5.83639679,-4.964037794,-4.883126059,-8.29578703,-5.891322775,-6.820287268,-4.725633242,-6.129362007,-8.215998166,-9.786740088,-7.616709582,-8.694562899,-8.332048714,-8.41004999,-7.93201201,-7.959974176,-7.408407886,-8.863811528,-6.790307148,-5.063818565,-5.117827894,-4.107042768,-5.136112513,-7.004822349,-5.215921245,-4.496936239,-4.460453886,-3.93919539
-7.838886683,-4.762775405,-4.731817219,-3.772703199,-2.383287153,-5.159147627,-4.280900403,-4.880211419,-3.635751496,-3.468273692,-6.324704928,-6.688640808,-10.730838547,-6.829507302,-6.211394263,-5.143726443,-9.714028632,-6.765399124,-5.614100682,-6.971339531,-7.150748985,-6.579451252,-6.217867746,-1.231963591,-0.956428678,-4.869988653,-6.213165444,-5.164110007,-4.344719316,-4.900127725
-8.244220058,-8.212517296,-7.773449582,-5.423458164,-6.473028715,-10.695800925,-6.586288407,-9.443089323,-4.782531516,-3.518294244,-6.579614276,-8.603433077,-12.23038434,-9.33318784,-8.298229088,-6.248062253,-6.949919695,-10.37598997,-7.228487019,-8.697207855,-7.479175475,-7.928688549,-4.307959875,-6.049866748,-6.45126591,-8.782855865,-6.308387034,-6.84693615,-4.174066502,-4.732017515
-8.861296286,-6.838149045,-7.024381484,-5.142747735,-4.715906467,-8.342724882,-6.296563244,-7.21521589,-5.252139762,-4.659276339,-7.492428082,-9.806530691,-9.545996254,-9.478315632,-8.441676208,-7.43778287,-9.12639749,-9.433661679,-7.747125151,-9.655428331,-7.207932764,-4.200931903,-6.665329455,-1.166743026,-1.494889056,-6.841445415,-4.620504023,-4.224156001,-4.434449863,-5.580612974
1.06360807,-0.252198004,0.851318243,0.082882488,0.199954321,-0.002417234,0.390849322,0.747909849,1.252550994,0.022015894,1.850443229,1.481573702,2.302845518,0.428204275,1.028894266,0.79905499,0.257083491,-1.873061935,1.047033322,0.089943187,1.102356531,-1.079159556,1.799454119,-2.808714083,-2.830210759,1.675592159,-0.362203174,0.325219275,0.121731686,-1.823221407
