"total.c","average_lambda"
76.0301517425165,1.48403420274417e-05
54.906645862712,1.56528036130009e-05
67.3560211154192,1.4527286383042e-05
51.5588567425262,1.50091523390343e-05
54.5860176914745,1.5406630694072e-05
68.9349276263974,1.41671574642024e-05
110.582250564676,1.39941796748262e-05
50.1198201136103,1.60527730531748e-05
73.4084178419605,1.51344782097109e-05
67.8635248368764,1.53445556474058e-05
53.9243848133962,1.58076898685677e-05
60.4763310146715,1.52025618383988e-05
48.1139234372899,1.4712763175251e-05
71.372594310354,1.4925083365418e-05
52.3962783670953,1.69973757421064e-05
65.4334207933415,1.53305195862577e-05
56.2854854517283,1.68244990363013e-05
47.6245936521086,1.57227888458997e-05
57.6873692196479,1.60673824663038e-05
50.4504275618992,1.62216515309178e-05
56.0777701128741,1.50105909618041e-05
52.4572145592542,1.58834345146651e-05
60.5009276803528,1.54620923595332e-05
75.0237752031726,1.49332386856332e-05
62.7160478414357,1.53120299520426e-05
68.8640948823833,1.47216108262294e-05
66.7725004101428,1.51381842117565e-05
100.375320878485,1.5064760963549e-05
87.4283090152727,1.48972865534031e-05
102.599441807834,1.5202374518941e-05
106.63097407224,1.40871353579017e-05
77.1155920979963,1.42118073391666e-05
51.2697088152669,1.49514017447914e-05
69.8810251261758,1.47507226418077e-05
56.1258838040643,1.38495804328876e-05
71.7382967195444,1.43005285912802e-05
60.6612411061809,1.38951450190717e-05
66.4183730376414,1.37453452572317e-05
63.6475600887438,1.29382396923073e-05
67.9621955840215,1.30037189581537e-05
61.7733181222249,1.32451612326427e-05
59.3687750985986,1.29151269368033e-05
76.4813872029621,1.3157044350644e-05
62.0438275631643,1.32381560456039e-05
46.4885802392173,1.35890551558511e-05
54.4340897476919,1.30692832133773e-05
73.3728500306064,1.33131248424111e-05
46.4323980603586,1.41813738762632e-05
81.4605665540142,1.26633906812233e-05
68.315221750081,1.25266800449859e-05
53.393091447141,1.30935476168386e-05
52.9421203653784,1.30669648790319e-05
91.5222471322832,1.30380952738409e-05
41.5927604230508,1.32994807023655e-05
74.9423577446599,1.29944644613109e-05
45.4373638516532,1.34124475253017e-05
65.0774402847526,1.37597304113127e-05
50.2723763994239,1.42429432964252e-05
60.3752238428888,1.33029398167891e-05
71.8755793277837,1.30911455458495e-05
38.2557449383754,1.37295712144928e-05
59.356369132802,1.31298202442744e-05
45.5315775637451,1.32197965804943e-05
48.9393497853513,1.32207601682499e-05
48.68066823283,1.33121802932869e-05
44.4210039653564,1.25325304079923e-05
99.0877872284153,1.34176807428139e-05
163.944812028593,1.28002616181656e-05
61.9819376856432,1.26095743005835e-05
46.3047579963003,1.2841332430286e-05
45.5407939666634,1.34620220269235e-05
44.8821577588782,1.28428007688857e-05
39.7071701606542,1.31847236685501e-05
33.2415278891246,1.34496052094415e-05
46.9861574471375,1.30001835826011e-05
49.7156265055169,1.32117380718775e-05
38.4329276287133,1.30213718504115e-05
67.4292362139311,1.37355091982506e-05
58.4872296804452,1.33687213705328e-05
42.6854473413732,1.35594444713111e-05
37.4366413742228,1.34640068130693e-05
50.7743966708933,1.336708175397e-05
41.2319888557201,1.28502719884074e-05
41.6507735556419,1.32618203310934e-05
60.7953420276282,1.35903194127652e-05
38.2457913523927,1.32190092427233e-05
46.1698842045909,1.3064607609824e-05
46.1495556106608,1.27108126890623e-05
43.1348004041637,1.28918151144825e-05
37.9861077371648,1.307259444888e-05
40.9257785486341,1.31221081597417e-05
34.1575478565414,1.29624219724557e-05
35.0310987520505,1.24608674634584e-05
55.0154743101652,1.29954153639548e-05
43.7858761446885,1.30862409168292e-05
56.3344592286632,1.34930016745414e-05
41.7007032305122,1.23480108331789e-05
44.2686885729757,1.28970679547287e-05
45.8372388396759,1.27381437475708e-05
40.0834112181856,1.32181241870569e-05
59.6041705605994,1.30590422894343e-05
47.6874574495349,1.32090335954521e-05
51.6307991061638,1.28565014094799e-05
46.1652674179597,1.35010197914436e-05
53.1525152931404,1.32768426197214e-05
43.731407406682,1.28354449047419e-05
49.8945260579013,1.33257900670793e-05
33.4225314871874,1.29388683374527e-05
42.7073262634427,1.28451485158306e-05
45.0741094291356,1.31270886283613e-05
49.635431614788,1.2794163076289e-05
46.6519767513086,1.30607574797341e-05
46.2465162965048,1.28303255255653e-05
41.8425055369769,1.34102241913863e-05
71.606172743797,1.21358906377043e-05
37.4643253621859,1.19361307171759e-05
38.4289603920067,1.26484175012776e-05
31.581003416659,1.26167199034743e-05
45.0746522261973,1.20567547282521e-05
46.4299696775732,1.22725779176918e-05
42.3059831630269,1.2222979464905e-05
41.0774377632762,1.25597474715226e-05
63.7846036906469,1.18451546620028e-05
47.4356697647007,1.25798119201474e-05
45.1165539159251,1.25357147172846e-05
44.511481024803,1.25370445125544e-05
47.3181182074567,1.29862605332864e-05
38.1333741274318,1.22032922130983e-05
